Group Pattern,Confidence,Company Code,Vendor,Group Value,Amount Overbooked,Group Contains,Earliest Due Date,Group UUID
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,3/8/2025,77f73f3080b91c4b51db8ecda2f1d8f63b334a12e9b5494985a5ab2bdaa523fd
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,,c214c946be9a4cdc39d104e61bb8dc6a8b9398735bc138426444038946fadd06
Similar Reference,  Low,3000,0000071801 - WCB - British Columbia,1200,600,All Open,3/13/2025,d863abd4af929d712c58ce1f79775d60e5c7707cfb9aa3e0f2ed165883c365ea
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,,e17dfe51bfd90e37cfb4449b1a748c7eef772b2e177ac4f1fb90b6f5f94411b2
Similar Reference,  Low,3000,0000071809 - WCB - Quebec,1200,600,All Open,3/12/2025,e1e686ec93b73eedc646db2449435a59586a893d9ed92b119a11cffc81a02384
Similar Reference,  Low,3000,0000071201 - Manhattan Corporation,1200,600,All Open,,f0d06ff85b4638350304007d4b0e7c69ecb47a4757bf37127f19e642bc7029a2
Similar Reference,  Low,3000,0000071800 - WCB - Alberta,1200,600,All Open,3/12/2025,f80c3a688c351bb7ab2f7e9bc26938cee4c00b57210787a08c146df4532cce2b
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,,fa2a18d0a19babeae03759e01d0a64e505e24c776d44cbec6186894d8cc5bea8
Similar Value,  Low,3000,0000003100 - Phoenix Supplies,1120.899041,520.8990411,Open/Cleared,3/14/2025,0350ca3ee908d8db091561ddbaa03284faa9c76bac8f63df4a1d789b3c550f2f
Similar Value,  Low,3000,0000100228 - ?????????,1120.899041,520.8990411,All Open,,042c8cd710641dabca05c6e52e4662f6ebe5a3e6e28d7e96d30343069ed9d012
Similar Value,  Low,3000,0000100128 - Global Business Properties,1120.899041,520.8990411,Open/Cleared,3/11/2025,0c2c2739b68fb0ea50582302bc50273da666ba70447613c3e293bf517dda0854
Similar Value,  Low,3000,0000071100 - Revenue Quebec,1120.899041,520.8990411,All Open,,116c8261450f4eddf0033f9cfa6951ed5deac7fcc1b3e98b2905861f7a832a78
Similar Value,  Low,3000,0000100128 - Global Business Properties,1120.899041,520.8990411,Open/Cleared,3/5/2025,126c4629d4f631fbd5c50063c45a091b434bac1a673b5737dfa738f713742500
Similar Value,  Low,3000,0000009000 - Anja Müller,1120.899041,520.8990411,All Open,,1296711a5f5765386bad8352a2cbf3c72048e4d8a1b700318bd58d0f10a090ee
Similar Value,  Low,3000,0000200017 - State of Illinois,1120.899041,520.8990411,All Open,3/10/2025,145c6f0b8d2e60b659dc1c76b297db8c3a7aa1d9133a11e65150a564160fcba6
Similar Value,  Low,3000,0000071809 - WCB - Quebec,1120.899041,520.8990411,All Open,,1d2e7c0b011de681332fe9b40dfbdf912d802d573c03ad2d5e90c435680e97b4
Similar Value,  Low,3000,0000200025 - Internal revenue service,1120.899041,520.8990411,All Open,3/10/2025,22ffd5fd4eaebc21c344ffa2445cd449a3bdbac5a9b6826f6ad9b31bd792b4f0
Similar Value,  Low,3000,0000001100 - Phunix GmbH,1120.899041,520.8990411,All Open,,23c4908c579b8843e4ab3dd47e99c10907a2a9a93bfef70c5241b4251235766b
Similar Value,  Low,3000,0000071807 - WCB - Ontario,1120.899041,520.8990411,All Open,3/13/2025,2a41814ad0b610d09a6042128cfd406e921d4b9922429778bbde541d147825e2
Similar Value,  Low,3000,0000071800 - WCB - Alberta,1120.899041,520.8990411,All Open,,414987326ebe636294d624c781c51cb679a4b6313d69f025f3eec17457667004
Similar Value,  Low,3000,0000001910 - Acme Corportion,1120.899041,520.8990411,All Open,3/2/2025,4c2d209a04eeace8e4d81a700e7a85fb27c2e5aa3db6e6033ad9207bdf7b7f77
Similar Value,  Low,3000,0000071100 - Revenue Quebec,1120.899041,520.8990411,All Open,,4d41567d0f3589315b2e7e191db6adaece048f5fed973f0e9d42f92a1f7ade94
Similar Value,  Low,3000,0000001920 - Versicherungen ABC,1120.899041,520.8990411,All Open,3/12/2025,5e252045c6315fb0298eaddc300e665751409c90f193fa247e94e615823bde20
Similar Value,  Low,3000,0000003100 - Phoenix Supplies,1120.899041,520.8990411,All Cleared,,66bb15023b529eee0f9f1447cb0f84b6a83a73d9de24f2a6f2098db4e95ffe8c
Similar Value,  Low,3000,"0000003701 - eSupplier, Inc",1120.899041,520.8990411,All Open,3/12/2025,98c82110b6976fa2ee70b374a6860cb06f4600fd84c6b57114af84fdbde44ae7
Similar Value,  Low,3000,0000099991 - kneifelinchen Sibylle,1120.899041,520.8990411,All Open,,9bb9d9112da9d61b86971c028c41aa73bd7379e0129385eb827c6cf0a12e9c7f
Similar Value,  Low,3000,0000003910 - Infix Corporation,1120.899041,520.8990411,All Cleared,3/3/2025,a2fb979642037995befbb94ef0d286470779bebaa5eced0baa9253dc2dd55cc3
Similar Value,  Low,3000,0000071100 - Revenue Quebec,1120.899041,520.8990411,All Open,,a616c3ec8c08a5009fc2d749a6a2ba2f3ad2d3ede987b3099ea5a7b0a163ede7
Similar Value,  Low,3000,0000100128 - Global Business Properties,1120.899041,520.8990411,All Cleared,3/10/2025,b275adb85333247f69e829be66167a73c91561797fa564704e8ac27129518d18
Similar Value,  Low,3000,0000071000 - Canada Customs & Revenue Agency,1120.899041,520.8990411,All Open,,b40e093ba5de1a6e664c37daeaff2d8c8c5a876b844123bdd95931f5d52d6dac
Similar Value,  Low,3000,0000071400 - Miller Company Inc.,1120.899041,520.8990411,All Open,3/9/2025,bffa782eb21a678418b4ef958c255953789466ad5bdd82df4b9c7345bdda1aba
Similar Value,  Low,3000,0000001910 - Acme Corportion,1120.899041,520.8990411,All Open,,c2f2a3538a5c2f137f17455f7f774ef1d96598ef2df5bfb58bae5e63f985ac8a
Similar Value,  Low,3000,0000071801 - WCB - British Columbia,1120.899041,520.8990411,All Open,3/16/2025,c8ecefbea76b270a4ffb6633d0963a7bfdbdc0eda3f7787e79bf08ccd0405d65
Similar Value,  Low,3000,"0000003701 - eSupplier, Inc",1120.899041,520.8990411,All Open,,ca4d6fdc070c79b4f6953660d1f769cf89c32920cd6f267c5c1812eb6d03d190
Similar Value,  Low,3000,0000009003 - Wilhelm Klein,1120.899041,520.8990411,All Open,3/3/2025,dc8a037954da866889a0ec6c6c914bd85df72faa067cef239ab63cc410c69c63
Similar Value,  Low,3000,0000100073 - Proveedor 1,1120.899041,520.8990411,Open/Cleared,,e4b2cf29580dad825d1533e06d50c6c0f0dded03ceacaafc170becca92f4106c
Similar Value,  Low,3000,0000071100 - Revenue Quebec,1120.899041,520.8990411,All Open,3/11/2025,e88de73d0fec170e5c8f1b62f7069e6cdb1ec61265d9dc070db627a6aa46f034
Similar Value,  Low,3000,"0000003701 - eSupplier, Inc",1120.899041,520.8990411,All Open,,f644bd2d65bf8a087ae48fd5a81121baf11584dc7763a19c85f0c62b9a929369
Similar Reference,  Low,3000,0000071200 - Manhattan Corp.,1041.798082,520.8990411,All Open,3/8/2025,cbd4528539da93ed4ca58100ff167b8380a194f2567a4f0862b0df33752d4e80
